MARCA,MODELO,CAMBIO,CILINDRADAS,ANO_DE_MODELO,PRECO_MEDIO
Baby,Buggy 1.6 2-Lug.,manual,1.6,1997,5116.0
Baby,Buggy 1.6/ TST/ RS 1.6 4-Lug.,manual,1.6,1998,6071.0
Baby,Buggy 1.6/ TST/ RS 1.6 4-Lug.,manual,1.6,1997,5369.0
Baby,Buggy 1.6/ TST/ RS 1.6 4-Lug.,manual,1.6,1996,5197.0
BRM,Buggy/M-8/M-8 Long 1.6,manual,1.6,1994,6767.0
BRM,Buggy/M-8/M-8 Long 1.6,manual,1.6,1993,6537.0
BRM,Buggy/M-8/M-8 Long 1.6,manual,1.6,1992,6130.0
BRM,Buggy/M-8/M-8 Long 1.6,manual,1.6,1991,5897.0
BRM,Buggy/M-8/M-8 Long 1.6,manual,1.6,1990,5547.0
BRM,Buggy/M-8/M-8 Long 1.6,manual,1.6,1989,5404.0
BRM,Buggy/M-8/M-8 Long 1.6,manual,1.6,1988,5221.0
BRM,Buggy/M-8/M-8 Long 1.6,manual,1.6,1987,5020.0
GM - Chevrolet,Chevette L / SL / SL/e / DL / SE 1.6,manual,1.6,1986,5747.0
GM - Chevrolet,Chevy 500 DL / SL / SE/ Furgão 1.6,manual,1.6,1990,6104.0
GM - Chevrolet,Chevy 500 DL / SL / SE/ Furgão 1.6,manual,1.6,1989,5581.0
GM - Chevrolet,Ipanema GL 1.8 MPFI / EFI /SL 4p,manual,1.8,1995,6866.0
GM - Chevrolet,Ipanema GL 1.8 MPFI / EFI /SL 4p,manual,1.8,1992,6983.0
GM - Chevrolet,Ipanema GL 1.8 MPFI / EFI /SL 4p,manual,1.8,1991,6790.0
GM - Chevrolet,Ipanema GL 1.8 MPFI / EFI /SL 4p,manual,1.8,1990,6138.0
GM - Chevrolet,Ipanema GLS/SLE 2.0EFI /SL/e1.8/Sol/Wave,manual,2.0,1990,6616.0
GM - Chevrolet,Ipanema GLS/SLE 2.0EFI /SL/e1.8/Sol/Wave,manual,2.0,1989,5483.0
GM - Chevrolet,Kadett GL/SL/Lite/Turim 1.8,manual,1.8,1991,6718.0
GM - Chevrolet,Kadett GL/SL/Lite/Turim 1.8,manual,1.8,1990,6457.0
GM - Chevrolet,Kadett GL/SL/Lite/Turim 1.8,manual,1.8,1989,5440.0
GM - Chevrolet,Kadett GLS 1.8 EFI / SL/e 1.8,manual,1.8,1990,6126.0
GM - Chevrolet,Kadett GLS 1.8 EFI / SL/e 1.8,manual,1.8,1989,5717.0
GM - Chevrolet,Monza GL 1.8 EFI/ SL/ L/ 650/Barc. 2e4p,manual,1.8,1989,6595.0
GM - Chevrolet,Monza GL 1.8 EFI/ SL/ L/ 650/Barc. 2e4p,manual,1.8,1988,5649.0
GM - Chevrolet,Monza GL 1.8 EFI/ SL/ L/ 650/Barc. 2e4p,manual,1.8,1987,5426.0
GM - Chevrolet,Monza Classic/ SL/e/SR 1.8,manual,1.8,1988,6412.0
GM - Chevrolet,Monza Classic/ SL/e/SR 1.8,manual,1.8,1987,5878.0
GM - Chevrolet,Monza GL 2.0 EFI/SL/L/650/Club/Barc.2e4p,manual,2.0,1988,6937.0
GM - Chevrolet,Monza GL 2.0 EFI/SL/L/650/Club/Barc.2e4p,manual,2.0,1987,5728.0
GM - Chevrolet,Monza Classic SE 2.0 /MPFI e EFI 2p e 4p,manual,2.0,1987,6667.0
GM - Chevrolet,Caravan L/SL/S/SS 2.5/4.1/4.2,manual,2.5,1988,6097.0
GM - Chevrolet,Cavalier L 2.0,manual,2.0,1991,6602.0
Chrysler,Neon LE/Highline 2.0,manual,2.0,1995,6522.0
Chrysler,Neon LE/Highline 2.0,manual,2.0,1994,5239.0
Chrysler,Neon Sport 1.8/2.0,manual,1.8,1995,6873.0
Chrysler,Neon Sport 1.8/2.0,manual,1.8,1994,5752.0
Citroën,Xantia SX 2.0 8V/16V Mec./Aut.,automatic,2.0,1995,6393.0
Citroën,Xantia Break 2.0 8V/GLX 2.0 16V Aut,automatic,2.0,1996,6778.0
Citroën,Xantia Break 2.0 8V/GLX 2.0 16V Aut,automatic,2.0,1995,6445.0
Citroën,Xantia SX 1.8,manual,1.8,1997,6309.0
Citroën,Xantia SX 1.8,manual,1.8,1996,5582.0
Citroën,Xsara Break GLX 1.8 16V,manual,1.8,1998,6104.0
Citroën,Xsara GLX 1.8 16V 5p Mec.,manual,1.8,1999,6935.0
Citroën,Xsara GLX 1.8 16V 5p Mec.,manual,1.8,1998,6601.0
Citroën,ZX Paris 1.8,manual,1.8,1998,6797.0
Citroën,ZX Paris 1.8,manual,1.8,1997,6351.0
Citroën,ZX Paris 1.8,manual,1.8,1996,5333.0
Citroën,XM Sensation 2.0 TB,manual,2.0,1994,6696.0
Citroën,XM Sensation 2.0 TB,manual,2.0,1993,6123.0
Citroën,XM Sensation 2.0 TB,manual,2.0,1992,5511.0
Citroën,Xantia 2.0 16V,manual,2.0,1996,6670.0
Citroën,Xantia 2.0 16V,manual,2.0,1995,5622.0
Citroën,Xantia 2.0 16V,manual,2.0,1994,5448.0
Citroën,Xantia Break GLX 2.0 16V Mec.,manual,2.0,1996,6694.0
Daewoo,Espero CD / DLX 2.0,manual,2.0,1994,6948.0
Daewoo,Prince Ace 2.0,manual,2.0,1995,5881.0
Daewoo,Prince Ace 2.0,manual,2.0,1994,5520.0
Daewoo,Lanos SX 1.6 16V,manual,1.6,1997,6461.0
Daewoo,Leganza CDX 2.0 16V Mec.,manual,2.0,1997,6917.0
Daewoo,Nubira CDX 2.0 16V Mec.,manual,2.0,1998,6373.0
Daewoo,Nubira CDX 2.0 16V Mec.,manual,2.0,1997,5913.0
Daewoo,Lanos SX 1.6 16V Aut.,automatic,1.6,1997,6555.0
Daewoo,Racer GTi 1.5 16V,manual,1.5,1995,5735.0
Daewoo,Espero 2.0,manual,2.0,1994,6158.0
Daihatsu,Charade Sedan 1.5/DLX 1.3,manual,1.5,1994,6404.0
Daihatsu,Charade Sedan 1.3i 16V,manual,1.3,1995,6844.0
Daihatsu,Charade Sedan 1.3i 16V,manual,1.3,1994,5958.0
Daihatsu,Gran Move 1.5/1.6 16V,manual,1.5,1998,6830.0
Daihatsu,Gran Move 1.5/1.6 16V,manual,1.5,1997,6314.0
Daihatsu,Gran Move 1.5/1.6 16V,manual,1.5,1996,5126.0
Daihatsu,Applause DLX 1.6 16V,manual,1.6,1995,6843.0
